"FriendlyName","Class","Status"
"PS/2 Compatible Mouse","Mouse","OK"
"Volume","Volume","OK"
"Puerto de impresora (LPT1)","Ports","OK"
"Extended IO Bus","System","OK"
"Standard floppy disk controller","FDC","OK"
"Microsoft XPS Document Writer","PrintQueue","OK"
"Cola de impresi?n ra?z","PrintQueue","OK"
"Volume Manager","System","OK"
"Fax","PrintQueue","OK"
"QEMU HARDDISK ATA Device","DiskDrive","OK"
"Volume","Volume","OK"
"Microsoft Basic Display Driver","System","OK"
"System CMOS/real time clock","System","OK"
"Printer Port Logical Interface","System","OK"
"Standard PS/2 Keyboard","Keyboard","OK"
"ATA Channel 0","HDC","OK"
"ATA Channel 1","HDC","OK"
"Microsoft Hyper-V Virtualization Infrastructure Driver","System","OK"
"High precision event timer","System","OK"
"QEMU QEMU DVD-ROM ATA Device","CDROM","OK"
"Composite Bus Enumerator","System","OK"
"Microsoft Virtual Drive Enumerator","System","OK"
"Intel(R) 82371SB PCI Bus Master IDE Controller","HDC","OK"
"Microsoft Print to PDF","PrintQueue","OK"
"Extended IO Bus","System","OK"
"Microsoft Storage Spaces Controller","SCSIAdapter","OK"
"CPU to PCI Bridge","System","OK"
"Extended IO Bus","System","OK"
"Puerto de comunicaciones (COM1)","Ports","OK"
"Microsoft Kernel Debug Network Adapter","Net","OK"
"ACPI Processor Container Device","System","OK"
"Volume","Volume","OK"
"UMBus Root Bus Enumerator","System","OK"
"Generic PnP Monitor","Monitor","OK"
"Microsoft Radio Device Enumeration Bus","SoftwareDevice","OK"
"ACPI x64-based PC","Computer","OK"
"PCI Bus","System","OK"
"Microsoft ACPI-Compliant System","System","OK"
,,"OK"
"Microsoft Basic Render Driver","System","OK"
"ACPI Fixed Feature Button","System","OK"
"Microsoft Basic Display Adapter","Display","OK"
"Sintetizador por software GS de tabla de onda de ","SoftwareDevice","OK"
"OneNote","PrintQueue","OK"
"Intel(R) PRO/1000 MT Network Connection","Net","OK"
"Floppy disk drive","FloppyDisk","OK"
"NDIS Virtual Network Adapter Enumerator","System","OK"
"Controlador de host eXtensible Est?ndar USB 3.0 - 1.0 (Microsoft)","USB","OK"
"PCI to ISA Bridge","System","OK"
"AMD Ryzen 9 9900X 12-Core Processor            ","Processor","OK"
"AMD Ryzen 9 9900X 12-Core Processor            ","Processor","OK"
"AMD Ryzen 9 9900X 12-Core Processor            ","Processor","OK"
"AMD Ryzen 9 9900X 12-Core Processor            ","Processor","OK"
"Microsoft System Management BIOS Driver","System","OK"
"Plug and Play Software Device Enumerator","System","OK"
"USB Root Hub (USB 3.0)","USB","OK"
"Remote Desktop Device Redirector Bus","System","OK"
,,"Error"
